STATE,YEAR,MURDERS
PENNSYLVANIA,2000,602
PENNSYLVANIA,2005,734
PENNSYLVANIA,2010,646
PENNSYLVANIA,2015,651
PENNSYLVANIA,2016,655
NORTH CAROLINA,2000,560
NORTH CAROLINA,2005,566
NORTH CAROLINA,2010,445
NORTH CAROLINA,2015,506
NORTH CAROLINA,2016,595
MISSOURI,2000,347
MISSOURI,2005,401
MISSOURI,2010,419
MISSOURI,2015,499
MISSOURI,2016,535
MARYLAND,2000,430
MARYLAND,2005,551
MARYLAND,2010,424
MARYLAND,2015,372
MARYLAND,2016,430
LOUISIANA,2000,560
LOUISIANA,2005,399
LOUISIANA,2010,437
LOUISIANA,2015,474
LOUISIANA,2016,543
