STATE,MURDERS
ALABAMA,199
ALASKA,31
ARIZONA,352
ARKANSAS,130
CALIFORNIA,"1,811"
COLORADO,117
CONNECTICUT,131
DELAWARE,48
DISTRICT OF COLUMBIA,131
GEORGIA,527
HAWAII,24
IDAHO,21
ILLINOIS,453
INDIANA,198
IOWA,38
KANSAS,100
KENTUCKY,180
LOUISIANA,437
MAINE,24
MARYLAND,424
MASSACHUSETTS,209
MICHIGAN,558
MINNESOTA,91
MISSISSIPPI,165
MISSOURI,419
MONTANA,21
NEBRASKA,51
NEVADA,158
NEW HAMPSHIRE,13
NEW JERSEY,363
NEW MEXICO,118
NEW YORK,860
NORTH CAROLINA,445
NORTH DAKOTA,9
OHIO,460
OKLAHOMA,188
OREGON,78
PENNSYLVANIA,646
RHODE ISLAND,29
SOUTH CAROLINA,280
SOUTH DAKOTA,14
TENNESSEE,356
TEXAS,"1,246"
UTAH,52
VERMONT,7
VIRGINIA,369
WASHINGTON,151
WEST VIRGINIA,55
WISCONSIN,151
WYOMING,8
VIRGIN ISLANDS,50
